 Year , USA , CAN , WEU , JPK , ANZ , EEU , FSU  , MDE , CAM , SAM , SAS , SEA , CHI , NAF , SSA  , SIS 
 1950 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175  , 0   
 1960 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175  , 0   
 1970 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175  , 0   
 1980 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175  , 0   
 1990 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 , 60  , 180 , 19  , 0   , 175  , 0   
 2000 , -1  , -1  , -3  , 0   , -3  , 0   , -5   , 0   , 39  , 355 , 42  , 127 , 59  , 0   , 245  , 0   
 2010 , -5  , -5  , -5  , 0   , -5  , 0   , -10  , 0   , 32  , 284 , 25  , 75  , 100 , 0   , 315  , 0   
 2020 , -15 , -15 , -15 , 0   , -15 , 0   , -180 , 0   , 21  , 189 , -19 , -56 , -75 , 0   , 210  , 0   
 2030 , -20 , -20 , -20 , 0   , -20 , 0   , -140 , 0   , 6   , 54  , -20 , -60 , -80 , 0   , 60   , 0   
 2040 , -15 , -15 , -15 , 0   , -15 , 0   , -90  , 0   , 1   , 5   , -11 , -34 , -45 , 0   , 5    , 0   
 2050 , -13 , -13 , -13 , 0   , -13 , 0   , -40  , 0   , -6  , -50 , -4  , -11 , -15 , 0   , -55  , 0   
 2060 , -15 , -15 , -15 , 0   , -15 , 0   , -40  , 0   , -6  , -50 , -4  , -11 , -15 , 0   , -55  , 0   
 2070 , -20 , -20 , -20 , 0   , -20 , 0   , -30  , 0   , -5  , -45 , -5  , -15 , -20 , 0   , -50  , 0   
 2080 , -28 , -28 , -28 , 0   , -28 , 0   , -30  , 0   , -6  , -54 , -6  , -19 , -25 , 0   , -60  , 0   
 2090 , -38 , -38 , -38 , 0   , -38 , 0   , -40  , 0   , -8  , -72 , -6  , -19 , -25 , 0   , -80  , 0   
 2100 , -48 , -48 , -48 , 0   , -48 , 0   , -40  , 0   , -10 , -90 , -8  , -23 , -30 , 0   , -100 , 0   
 2110 , -43 , -43 , -43 , 0   , -43 , 0   , -36  , 0   , -9  , -81 , -7  , -20 , -27 , 0   , -90  , 0   
 2120 , -38 , -38 , -38 , 0   , -38 , 0   , -32  , 0   , -8  , -72 , -6  , -18 , -24 , 0   , -80  , 0   
 2130 , -33 , -33 , -33 , 0   , -33 , 0   , -28  , 0   , -7  , -63 , -5  , -16 , -21 , 0   , -70  , 0   
 2140 , -29 , -29 , -29 , 0   , -29 , 0   , -24  , 0   , -6  , -54 , -5  , -14 , -18 , 0   , -60  , 0   
 2150 , -24 , -24 , -24 , 0   , -24 , 0   , -20  , 0   , -5  , -45 , -4  , -11 , -15 , 0   , -50  , 0   
 2160 , -19 , -19 , -19 , 0   , -19 , 0   , -16  , 0   , -4  , -36 , -3  , -9  , -12 , 0   , -40  , 0   
 2170 , -14 , -14 , -14 , 0   , -14 , 0   , -12  , 0   , -3  , -27 , -2  , -7  , -9  , 0   , -30  , 0   
 2180 , -10 , -10 , -10 , 0   , -10 , 0   , -8   , 0   , -2  , -18 , -2  , -5  , -6  , 0   , -20  , 0   
 2190 , -5  , -5  , -5  , 0   , -5  , 0   , -4   , 0   , -1  , -9  , -1  , -2  , -3  , 0   , -10  , 0   
 2200 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2210 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2220 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2230 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2240 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2250 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2260 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2270 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2280 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2290 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
 2300 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   
