 Region , Rate of change (% Ag. Prod/ 0.04ÂºC) , ``\delta_{r}^{l}`` , ``\delta_{r}^{q}`` , COâ‚‚ fertilisation (% Ag. Prod) 
 USA    , -0.021 (0.176)                      , 0.026 (0.021)    , -0.012 (0.018)   , 8.90 (14.84)                     
 CAN    , -0.029 (0.073)                      , 0.092 (0.080)    , -0.016 (0.009)   , 4.02 (6.50)                      
 WEU    , -0.039 (0.138)                      , 0.022 (0.002)    , -0.014 (0.013)   , 15.41 (11.83)                    
 JPK    , -0.033 (0.432)                      , 0.046 (0.022)    , -0.024 (0.030)   , 23.19 (36.60)                    
 ANZ    , -0.015 (0.142)                      , 0.040 (0.071)    , -0.016 (0.037)   , 10.48 (8.50)                     
 EEU    , -0.027 (0.062)                      , 0.048 (0.097)    , -0.018 (0.048)   , 9.52 (5.14)                      
 FSU    , -0.018 (0.066)                      , 0.042 (0.075)    , -0.016 (0.039)   , 6.71 (5.48)                      
 MDE    , -0.022 (0.032)                      , 0.042 (0.071)    , -0.017 (0.037)   , 9.43 (2.66)                      
 CAM    , -0.034 (0.061)                      , 0.064 (0.043)    , -0.030 (0.043)   , 16.41 (5.38)                     
 SAM    , -0.009 (0.060)                      , 0.003 (0.005)    , -0.004 (0.003)   , 5.96 (5.04)                      
 SAS    , -0.014 (0.021)                      , 0.025 (0.024)    , -0.011 (0.018)   , 5.80 (1.64)                      
 SEA    , -0.009 (0.482)                      , 0.014 (0.004)    , -0.010 (0.008)   , 8.45 (41.81)                     
 CHI    , -0.013 (0.075)                      , 0.043 (0.076)    , -0.017 (0.040)   , 19.21 (6.13)                     
 NAF    , -0.016 (0.023)                      , 0.033 (0.043)    , -0.014 (0.027)   , 7.27 (1.90)                      
 SSA    , -0.011 (0.026)                      , 0.024 (0.034)    , -0.010 (0.020)   , 5.05 (2.20)                      
 SIS    , -0.050 (0.103)                      , 0.043 (0.077)    , -0.017 (0.040)   , 23.77 (8.64)                     
,,,,
,,,,
