 Year , USA , CAN , WEU , JPK , ANZ , EEU , FSU  , MDE , CAM , SAM , SAS  , SEA  , CHI  , NAF , SSA  , SIS 
 1950 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 ,  60  , 180  , 19   , 0   , 175  , 0   
 1960 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 ,  60  , 180  , 19   , 0   , 175  , 0   
 1970 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 ,  60  , 180  , 19   , 0   , 175  , 0   
 1980 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 ,  60  , 180  , 19   , 0   , 175  , 0   
 1990 , 3   , 3   , 0   , 0   , 0   , 0   , 0    , 0   , 47  , 426 ,  60  , 180  , 19   , 0   , 175  , 0   
 2000 , 14  , 14  , 13  , 0   , 13  , 0   , -5   , 0   , 35  , 314 ,  45  , 135  , 69   , 0   , 200  , 0   
 2010 , 25  , 25  , 25  , 0   , 25  , 0   , -10  , 0   , 23  , 203 ,  30  , 90   , 120  , 0   , 225  , 0   
 2020 , 15  , 15  , 15  , 0   , 15  , 0   , -100 , 0   , 23  , 203 ,  28  , 83   , 110  , 0   , 225  , 0   
 2030 , -5  , -5  , -5  , 0   , -5  , 0   , -310 , 0   , 2   , 18  ,  26  , 79   , 105  , 0   , 20   , 0   
 2040 , -18 , -18 , -18 , 0   , -18 , 0   , -350 , 0   , -13 , -113,  24  , 71   , 95   , 0   , -125 , 0   
 2050 , -23 , -23 , -23 , 0   , -23 , 0   , -360 , 0   , -7  , -59 ,  23  , 68   , 90   , 0   , -65  , 0   
 2060 , -20 , -20 , -20 , 0   , -20 , 0   , -380 , 0   , -8  , -68 ,  20  , 60   , 80   , 0   , -75  , 0   
 2070 , -15 , -15 , -15 , 0   , -15 , 0   , -410 , 0   , -5  , -45 ,  19  , 56   , 75   , 0   , -50  , 0   
 2080 , -35 , -35 , -35 , 0   , -35 , 0   , -360 , 0   , -11 , -95 ,  14  , 41   , 55   , 0   , -105 , 0   
 2090 , -30 , -30 , -30 , 0   , -30 , 0   , -340 , 0   , -11 , -99 ,  -11 , -34  , -45  , 0   , -110 , 0   
 2100 , -28 , -28 , -28 , 0   , -28 , 0   , -290 , 0   , -11 , -99 ,  -44 , -131 , -175 , 0   , -110 , 0   
 2110 , -25 , -25 , -25 , 0   , -25 , 0   , -261 , 0   , -10 , -89 ,  -39 , -118 , -158 , 0   , -99  , 0   
 2120 , -22 , -22 , -22 , 0   , -22 , 0   , -232 , 0   , -9  , -79 ,  -35 , -105 , -140 , 0   , -88  , 0   
 2130 , -19 , -19 , -19 , 0   , -19 , 0   , -203 , 0   , -8  , -69 ,  -31 , -92  , -123 , 0   , -77  , 0   
 2140 , -17 , -17 , -17 , 0   , -17 , 0   , -174 , 0   , -7  , -59 ,  -26 , -79  , -105 , 0   , -66  , 0   
 2150 , -14 , -14 , -14 , 0   , -14 , 0   , -145 , 0   , -6  , -50 ,  -22 , -66  , -88  , 0   , -55  , 0   
 2160 , -11 , -11 , -11 , 0   , -11 , 0   , -116 , 0   , -4  , -40 ,  -18 , -53  , -70  , 0   , -44  , 0   
 2170 , -8  , -8  , -8  , 0   , -8  , 0   , -87  , 0   , -3  , -30 ,  -13 , -39  , -53  , 0   , -33  , 0   
 2180 , -6  , -6  , -6  , 0   , -6  , 0   , -58  , 0   , -2  , -20 ,  -9  , -26  , -35  , 0   , -22  , 0   
 2190 , -3  , -3  , -3  , 0   , -3  , 0   , -29  , 0   , -1  , -10 ,  -4  , -13  , -18  , 0   , -11  , 0   
 2200 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2210 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2220 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2230 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2240 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2250 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2260 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2270 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2280 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2290 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
 2300 , 0   , 0   , 0   , 0   , 0   , 0   , 0    , 0   , 0   , 0   ,  0   , 0    , 0    , 0   , 0    , 0   
