 Region , Forestry               , Water                   , Heating           , Cooling            
 USA    , 0.000053    (0.000014) ,  -0.000650   (0.000650) , 0.00429 (0.00429) , -0.00212 (0.00212) 
 CAN    , 0.000011    (0.000072) ,  -0.000570   (0.000570) , 0.00378 (0.00378) , -0.00186 (0.00186) 
 WEU    , 0.000025    (0.000006) ,  -0.000270   (0.000270) , 0.00241 (0.00241) , -0.00372 (0.00372) 
 JPK    , 0.000042    (0.000012) ,  0.000003    (0.000003) , 0.00207 (0.00207) , -0.00029 (0.00029) 
 ANZ    , -0.000121   (0.000033) ,  0.000003    (0.000003) , 0.00151 (0.00151) , -0.00021 (0.00021) 
 EEU    , 0.000055    (0.000025) ,  -0.006970   (0.006970) , 0.00456 (0.00456) , -0.00185 (0.00185) 
 FSU    , -0.000023   (0.000053) ,  -0.027540   (0.027540) , 0.01663 (0.01663) , -0.00674 (0.00674) 
 MDE    , 0.000000    (0.000034) ,  -0.001330   (0.001330) , 0.02074 (0.02074) , -0.00233 (0.00233) 
 CAM    , 0.000018    (0.000034) ,  -0.001300   (0.001300) , 0.00366 (0.00366) , -0.00239 (0.00239) 
 SAM    , 0.000024    (0.000012) ,  -0.001400   (0.001400) , 0.00395 (0.00395) , -0.00259 (0.00259) 
 SAS    , 0.000062    (0.000023) ,  -0.001560   (0.001560) , 0.00361 (0.00361) , -0.00384 (0.00384) 
 SEA    , 0.000067    (0.000028) ,  -0.003140   (0.003140) , 0.00695 (0.00695) , -0.00740 (0.00740) 
 CHI    , 0.000087    (0.000032) ,  0.005690    (0.005690) , 0.03971 (0.03971) , -0.02891 (0.02891) 
 NAF    , 0.000000    (0.000034) ,  -0.009020   (0.009020) , 0.00015 (0.00015) , -0.01892 (0.01892) 
 SSA    , 0.000011    (0.000035) ,  -0.003600   (0.003600) , 0.00006 (0.00006) , -0.00797 (0.00797) 
 SIS    , 0.000000    (0.000034) ,  -0.001300   (0.001300) , 0.00366 (0.00366) , -0.00239 (0.00239) 
0,0,0,0,0
0,0,0,0,0
